Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months"
980,127,565,772,68,98,226444,50412,90578,19125,4180,1275
1358,186,518,938,94,140,547990,111042,219196,45867,9917,3058
2695,293,665,1680,139,216,1310189,214991,524076,107744,22800,7183
704,60,221,462,27,43,157143,30466,62857,13101,2819,873
4804,425,1579,3191,193,309,1477723,318695,591089,124417,27091,8294
2908,380,1102,2005,161,270,1336795,279457,534718,112216,24348,7481
917,43,402,660,20,31,221597,44519,88639,18533,4003,1236
3267,334,1267,2267,143,238,960572,207376,384229,80884,17614,5392
555,61,234,394,27,44,234560,56483,93824,19973,4407,1332
1236,194,678,957,79,137,332671,61267,133068,27611,5910,1841
1583,130,533,1058,55,93,551912,74327,220765,44770,9311,2985
3014,406,876,1945,122,264,1115589,209105,446236,92731,19883,6182
448,72,222,335,37,54,254546,52373,101818,21336,4621,1422
3116,450,995,2055,173,312,1909537,270129,763815,155390,32450,10359
1541,232,556,1048,76,154,553131,146572,221252,47608,10633,3174
12780,1621,3338,8059,436,1029,5027281,799338,2010912,412448,87022,27497
2194,349,831,1512,106,227,540242,105665,216097,45074,9708,3005
527,55,286,406,25,40,245644,34035,98258,19962,4161,1331
2775,393,1003,1889,161,277,1523446,208426,609378,123702,25761,8247
2429,191,692,1561,88,140,847115,123309,338846,69066,14458,4604
6931,844,1887,4409,303,574,2015003,379769,806001,167571,35951,11171
1094,100,400,747,28,64,318554,77904,127422,27171,6006,1811
2898,249,1159,2028,119,184,746856,127072,298742,61590,13078,4106
908,114,421,665,43,79,356372,70621,142549,29768,6421,1985
415,38,182,298,17,27,189876,47299,75950,16228,3596,1082
2432,148,931,1681,65,106,476520,97688,190608,39928,8644,2662
1005,54,365,685,17,35,286154,67043,114462,24295,5342,1620
7297,991,2756,5027,342,666,1774690,364610,709876,148732,32208,9915
970,80,422,696,43,62,182581,38811,73032,15351,3337,1023
394,35,201,298,10,23,160796,25937,64318,13206,2790,880
2053,308,583,1318,118,213,670968,134483,268387,56104,12116,3740
1773,186,848,1310,95,141,701166,134953,280466,58417,12561,3894
10239,1157,2548,6393,438,798,4022208,782014,1608883,335404,72196,22360
640,90,297,468,43,67,267487,42093,106995,21929,4622,1462
822,104,342,582,49,76,266378,82842,106551,23393,5342,1560
1354,132,370,862,65,99,539133,102171,215653,44857,9629,2990
4012,282,807,2410,115,199,1094741,170439,437896,89677,18884,5978
579,64,317,448,34,49,230741,32271,92296,18763,3914,1251
4713,323,1228,2971,95,209,1090373,234541,436149,91781,19978,6119
1743,117,587,1165,65,91,522720,104104,209088,43683,9427,2912
6527,701,2294,4410,293,497,2208721,489214,883488,186453,40724,12430
1441,209,706,1073,97,153,495349,113936,198140,41976,9209,2798
859,80,398,629,43,62,202898,45230,81159,17139,3746,1143
633,32,378,505,20,26,152884,31930,61154,12833,2784,856
799,44,364,581,22,33,234872,48228,93949,19683,4262,1312
3013,329,975,1994,101,215,914407,196315,365763,76955,16748,5130
2620,284,1167,1894,97,190,650209,155752,260084,55335,12200,3689
4873,770,1465,3169,249,510,2024238,353589,809695,167278,35612,11152
1326,155,433,879,35,95,477802,100652,191121,40138,8716,2676
1928,247,651,1290,59,153,567490,121347,226996,47740,10385,3183
7764,912,3161,5462,312,612,2045072,306266,818029,167064,35059,11138
537,51,153,345,23,37,239882,53947,95953,20281,4438,1352
3808,567,1537,2673,185,376,1293436,245509,517374,107630,23109,7175
1571,160,719,1145,44,102,434821,131578,173928,38046,8654,2536
7233,885,2631,4932,306,595,1602896,353619,641158,135258,29529,9017
1295,149,555,925,62,106,673350,119939,269340,55732,11888,3715
1883,199,901,1392,77,138,557924,115795,223170,46803,10147,3120
3026,398,1053,2040,151,275,975665,189632,390266,81357,17511,5424
1105,75,547,826,33,54,280815,48222,112326,23174,4925,1545
6449,679,2792,4620,235,457,2405737,441233,962295,199603,42703,13307
1727,203,675,1201,81,142,844608,159096,337843,70236,15068,4682
1135,167,357,746,38,102,439951,83055,175980,36592,7852,2439
828,93,280,554,39,66,327040,57022,130816,27022,5752,1801
10585,1292,3679,7132,450,871,3918830,583050,1567532,319987,67112,21332
1664,171,510,1087,33,102,481423,99782,192569,40380,8753,2692
1614,139,699,1157,66,102,379562,86153,151825,32121,7036,2141
2070,294,749,1410,89,192,825712,177147,330285,69486,15121,4632
1439,188,462,951,95,142,382586,75636,153034,31951,6890,2130
5593,843,2269,3931,325,584,2380353,379848,952141,195341,41229,13023
2760,173,1193,1977,76,125,869785,168710,347914,72515,15605,4834
4123,509,1333,2728,163,336,1315527,254755,526211,109661,23595,7311
1335,108,504,919,33,71,290096,65608,116038,24540,5373,1636
518,18,228,373,8,13,125779,28314,50312,10635,2327,709
1319,217,508,914,73,145,274471,63578,109788,23276,5111,1552
4505,790,1125,2815,241,516,1097252,224839,438901,91935,19903,6129
9897,928,1230,5564,235,582,3811249,751403,1524500,318208,68597,21214
2086,274,753,1420,51,162,839182,146112,335673,69330,14755,4622
1239,142,475,857,67,104,610597,100811,244239,50236,10637,3349
1036,94,361,699,14,54,255069,58415,102028,21605,4738,1440
453,63,214,333,21,42,200261,44042,80104,16893,3687,1126
1904,184,706,1305,88,136,561138,130069,224455,47589,10451,3173
1208,138,416,812,64,101,603572,141016,241429,51230,11261,3415
2032,332,666,1349,137,234,711961,162705,284784,60292,13218,4019
2154,328,1050,1602,157,243,528945,115347,211578,44583,9720,2972
951,83,319,635,26,55,542404,104811,216962,45206,9724,3014
1872,180,734,1303,48,114,432080,90275,172832,36269,7869,2418
1375,161,458,916,58,109,426480,89340,170592,35807,7771,2387
1248,224,481,865,79,151,287862,62812,115145,24264,5290,1618
704,31,341,523,14,22,287995,47223,115198,23682,5011,1579
7323,908,2753,5038,292,600,2396614,619365,958646,205679,45787,13712
3115,268,1089,2102,97,182,1079022,373713,431609,96207,22327,6414
931,87,487,709,55,71,281971,62427,112788,23802,5198,1587
2442,376,1038,1740,143,259,651379,132442,260552,54538,11797,3636
